date,forecast,lower_ci,upper_ci
2025-09-04,26.76144750304974,26.736812705544647,26.786082300554835
2025-09-05,26.75426380697507,26.718629124748293,26.78989848920185
2025-09-06,26.756604817166842,26.714188729318167,26.799020905015517
2025-09-07,26.75917631131379,26.708416238635248,26.809936383992333
2025-09-08,26.758862049836445,26.698441143933014,26.819282955739876
2025-09-09,26.758910625255137,26.688892585430555,26.82892866507972
2025-09-10,26.759768769066316,26.679947363196153,26.83959017493648
2025-09-11,26.760397149655017,26.67024470066738,26.850549598642655
2025-09-12,26.76081756464019,26.659929562542175,26.861705566738202
2025-09-13,26.76133788093122,26.64939347895644,26.873282282905997
2025-09-14,26.761905503158193,26.638551305966836,26.88525970034955
2025-09-15,26.762436140457066,26.62731292536436,26.89755935554977
2025-09-16,26.762958151041474,26.61572898272314,26.910187319359807
2025-09-17,26.76349252416489,26.603830856976437,26.92315419135334
2025-09-18,26.764027629767213,26.59161049411935,26.936444765415075
2025-09-19,26.76455892497536,26.579070634843323,26.9500472151074
2025-09-20,26.76509057111163,26.566223537319786,26.963957604903477
2025-09-21,26.765623305393223,26.553076309334134,26.978170301452312
2025-09-22,26.766155771789435,26.539633454273222,26.99267808930565
2025-09-23,26.766687952531456,26.525900887141223,27.00747501792169
2025-09-24,26.767220256212386,26.511884627006697,27.022555885418075
2025-09-25,26.767752627008278,26.497589828990268,27.037915425026288
2025-09-26,26.76828495095854,26.48302134616543,27.053548555751654
2025-09-27,26.768817261827753,26.468183964090894,27.06945055956461
2025-09-28,26.76934958867791,26.453082226185607,27.08561695117021
2025-09-29,26.769881917052505,26.437720414380667,27.102043419724342
2025-09-30,26.770414240415004,26.42210262658424,27.118725854245767
2025-10-01,26.770946564071185,26.406232791730908,27.135660336411462
2025-10-02,26.77147888918381,26.39011466341824,27.15284311494938
2025-10-03,26.772011213990577,26.373751833657845,27.17027059432331
2025-10-04,26.77254353840712,26.35714774855364,27.1879393282606
2025-10-05,26.773075862973617,26.3403057163595,27.205846009587734
2025-10-06,26.773608187634487,26.32322891487357,27.223987460395403
2025-10-07,26.774140512236343,26.30592040010322,27.242360624369468
2025-10-08,26.77467283681878,26.288383113946274,27.260962559691286
2025-10-09,26.775205161421788,26.270619890740683,27.279790432102892
2025-10-10,26.775737486027534,26.252633463462043,27.298841508593025
2025-10-11,26.77626981062671,26.234426469574423,27.318113151679
2025-10-12,26.776802135226053,26.216001456369888,27.337602814082217
2025-10-13,26.777334459827333,26.19736088588119,27.357308033773478
2025-10-14,26.777866784428277,26.178507139459338,27.377226429397215
2025-10-15,26.77839910902869,26.159442522026936,27.397355696030445
2025-10-16,26.778931433629285,26.14016926602261,27.41769360123596
2025-10-17,26.779463758230012,26.120689535071094,27.43823798138893
2025-10-18,26.779996082830664,26.10100542740513,27.458986738256197
2025-10-19,26.780528407431287,26.081118979057337,27.479937835805238
2025-10-20,26.781060732031936,26.06103216684073,27.501089297223142
2025-10-21,26.78159305663259,26.040746911136015,27.522439202129167
2025-10-22,26.78212538123324,26.020265078501176,27.543985683965303
2025-10-23,26.782657705833884,25.999588484117176,27.565726927550593
2025-10-24,26.783190030434533,25.97871889408262,27.587661166786447
2025-10-25,26.78372235503518,25.957658027569032,27.60978668250133
2025-10-26,26.78425467963583,25.936407558847275,27.632101800424383
2025-10-27,26.784787004236478,25.914969119194733,27.65460488927822
2025-10-28,26.785319328837126,25.893344298692,27.67729435898225
2025-10-29,26.785851653437774,25.871534647917105,27.700168658958443
2025-10-30,26.786383978038423,25.849541679544544,27.7232262765323
